Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
1,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_1.txt,0.0,0.0,0.0,-129.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,-80.0,False
2,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_2.txt,111.0,111.0,111.0,111.0,0.0,0.0,0.0,-86.0,111.0,111.0,111.0,25.0,False
3,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_3.txt,7.0,7.0,7.0,7.0,0.0,0.0,0.0,-118.0,7.0,7.0,7.0,-111.0,False
4,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_4.txt,22.0,22.0,22.0,22.0,0.0,0.0,0.0,-105.0,22.0,22.0,22.0,-83.0,False
5,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_5.txt,0.0,0.0,0.0,-88.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,-54.0,False
6,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_6.txt,26.0,26.0,26.0,26.0,0.0,0.0,0.0,-119.0,26.0,26.0,26.0,-93.0,False
7,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_7.txt,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,-100.0,True
8,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_8.txt,0.0,0.0,0.0,-54.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,-21.0,False
9,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_9.txt,3.0,3.0,3.0,3.0,0.0,0.0,0.0,-63.0,3.0,3.0,3.0,-60.0,False
10,uniform,outputs/agents_2/items_3/gpt4om/zero_shot/output_10.txt,0.0,0.0,0.0,-33.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,-52.0,True
