Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_1.txt,74.0,74.0,153.0,153.0,2.0,2.0,2.0,-325.0,0.0,-10.0,0.0,-289.0,0.0,-17.0,0.0,-296.0,0.0,-12.0,0.0,-353.0,74.0,74.0,155.0,-1110.0,False,78125.0,0.0,14451394936.0,561.0,89.0,11451072860.0,551.0,82.0
2,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_2.txt,74.0,74.0,131.0,-4.0,0.0,-21.0,0.0,-253.0,0.0,-28.0,0.0,-297.0,6.0,6.0,6.0,-223.0,40.0,40.0,40.0,-101.0,74.0,74.0,177.0,-878.0,False,78125.0,0.0,7861763448.0,529.0,81.0,5740483446.0,488.0,61.0
3,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_3.txt,69.0,69.0,79.0,-321.0,109.0,109.0,225.0,17.0,202.0,202.0,381.0,285.0,0.0,0.0,0.0,-583.0,0.0,0.0,0.0,-583.0,202.0,202.0,685.0,-1185.0,False,78125.0,0.0,11354948080.0,585.0,86.0,0.0,583.0,0.0
4,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_4.txt,62.0,62.0,81.0,31.0,38.0,38.0,81.0,23.0,64.0,64.0,64.0,-112.0,0.0,-42.0,0.0,-188.0,70.0,70.0,150.0,112.0,70.0,70.0,376.0,-134.0,False,78125.0,0.0,11851257600.0,609.0,84.0,1098722880.0,385.0,20.0
5,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_5.txt,59.0,59.0,65.0,27.0,74.0,74.0,110.0,-15.0,79.0,79.0,79.0,-2.0,0.0,-99.0,0.0,-528.0,22.0,22.0,22.0,-175.0,79.0,79.0,276.0,-693.0,False,78125.0,0.0,10482985656.0,569.0,87.0,0.0,528.0,0.0
6,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_6.txt,71.0,71.0,132.0,127.0,127.0,127.0,201.0,176.0,53.0,53.0,53.0,-220.0,34.0,34.0,34.0,-185.0,0.0,-4.0,0.0,-296.0,127.0,127.0,420.0,-398.0,False,78125.0,0.0,6952320000.0,550.0,85.0,573342000.0,388.0,12.0
7,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_7.txt,118.0,118.0,209.0,174.0,132.0,132.0,189.0,54.0,40.0,40.0,40.0,-179.0,37.0,37.0,37.0,-255.0,0.0,-21.0,0.0,-257.0,132.0,132.0,475.0,-463.0,False,78125.0,0.0,18766900152.0,611.0,87.0,4267523304.0,503.0,29.0
8,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_8.txt,0.0,-6.0,0.0,-77.0,0.0,-17.0,0.0,-400.0,0.0,-42.0,0.0,-373.0,0.0,0.0,0.0,-161.0,0.0,-18.0,0.0,-294.0,0.0,0.0,0.0,-1305.0,True,78125.0,1.0,23671997440.0,634.0,94.0,23671997440.0,634.0,80.0
9,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_9.txt,0.0,-12.0,0.0,-219.0,0.0,0.0,0.0,-109.0,34.0,34.0,60.0,52.0,0.0,0.0,0.0,-206.0,15.0,15.0,28.0,-117.0,34.0,34.0,88.0,-599.0,False,78125.0,0.0,13106222766.0,588.0,83.0,7315539988.0,502.0,67.0
10,uniform,outputs/agents_5/items_7/gpt4o/zero_shot3/output_10.txt,0.0,-18.0,0.0,-187.0,39.0,39.0,82.0,52.0,15.0,15.0,15.0,-201.0,0.0,-25.0,0.0,-282.0,0.0,-23.0,0.0,-266.0,39.0,39.0,97.0,-884.0,False,78125.0,0.0,10988554500.0,530.0,84.0,9167290209.0,529.0,67.0
