Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_1.txt,0.0,-109.0,0.0,-109.0,0.0,-112.0,0.0,-112.0,0.0,-109.0,0.0,-221.0,True,64.0,8.0,35640.0,385.0,165.0,35640.0,382.0,162.0
2,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_2.txt,0.0,-72.0,0.0,-72.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,-40.0,False,64.0,8.0,24660.0,458.0,115.0,14840.0,321.0,56.0
3,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_3.txt,0.0,-92.0,0.0,-92.0,0.0,-226.0,0.0,-226.0,0.0,-92.0,0.0,-318.0,True,64.0,12.0,47880.0,441.0,210.0,45968.0,441.0,169.0
4,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_4.txt,0.0,-88.0,0.0,-88.0,0.0,-67.0,0.0,-67.0,0.0,-67.0,0.0,-155.0,True,64.0,4.0,30033.0,388.0,148.0,28512.0,348.0,132.0
5,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_5.txt,81.0,81.0,81.0,81.0,0.0,-154.0,0.0,-154.0,81.0,81.0,81.0,-73.0,False,64.0,7.0,31326.0,365.0,156.0,15555.0,316.0,61.0
6,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_6.txt,0.0,-31.0,0.0,-31.0,0.0,-123.0,0.0,-123.0,0.0,-31.0,0.0,-154.0,True,64.0,7.0,52459.0,493.0,209.0,52459.0,460.0,209.0
7,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_7.txt,38.0,38.0,38.0,38.0,0.0,-96.0,0.0,-96.0,38.0,38.0,38.0,-58.0,False,64.0,6.0,40032.0,435.0,181.0,31980.0,359.0,164.0
8,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_8.txt,0.0,-156.0,0.0,-156.0,0.0,-201.0,0.0,-201.0,0.0,-156.0,0.0,-357.0,True,64.0,16.0,53889.0,466.0,213.0,53889.0,466.0,213.0
9,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_9.txt,11.0,11.0,11.0,11.0,0.0,-87.0,0.0,-87.0,11.0,11.0,11.0,-76.0,False,64.0,3.0,55488.0,476.0,220.0,43659.0,420.0,189.0
10,uniform,outputs/agents_2/items_6/gpt4o/zero_shot0/output_10.txt,46.0,46.0,46.0,46.0,0.0,-136.0,0.0,-136.0,46.0,46.0,46.0,-90.0,False,64.0,6.0,64925.0,512.0,245.0,43360.0,431.0,160.0
