Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_1.txt,0.0,-96.0,0.0,-96.0,0.0,-40.0,0.0,-40.0,0.0,-40.0,0.0,-136.0,True,128.0,14.0,51948.0,464.0,222.0,45250.0,431.0,181.0
2,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_2.txt,0.0,-160.0,0.0,-160.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-158.0,False,128.0,10.0,48828.0,496.0,206.0,47952.0,472.0,148.0
3,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_3.txt,0.0,-94.0,0.0,-94.0,0.0,-171.0,0.0,-171.0,0.0,-94.0,0.0,-265.0,True,128.0,20.0,47294.0,435.0,214.0,47294.0,435.0,214.0
4,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_4.txt,89.0,89.0,89.0,89.0,0.0,-329.0,0.0,-329.0,89.0,89.0,89.0,-240.0,False,128.0,14.0,34545.0,418.0,163.0,24637.0,418.0,71.0
5,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_5.txt,0.0,-78.0,0.0,-78.0,0.0,-146.0,0.0,-146.0,0.0,-78.0,0.0,-224.0,True,128.0,18.0,34216.0,370.0,182.0,34216.0,370.0,182.0
6,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_6.txt,0.0,-159.0,0.0,-159.0,0.0,-33.0,0.0,-33.0,0.0,-33.0,0.0,-192.0,True,128.0,19.0,61411.0,505.0,232.0,52136.0,462.0,196.0
7,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_7.txt,0.0,-251.0,0.0,-251.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,-240.0,False,128.0,12.0,77924.0,567.0,270.0,77822.0,567.0,233.0
8,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_8.txt,0.0,-18.0,0.0,-18.0,0.0,-202.0,0.0,-202.0,0.0,-18.0,0.0,-220.0,True,128.0,14.0,50808.0,532.0,200.0,46848.0,494.0,128.0
9,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_9.txt,0.0,-109.0,0.0,-109.0,0.0,-158.0,0.0,-158.0,0.0,-109.0,0.0,-267.0,True,128.0,16.0,58232.0,483.0,232.0,58232.0,483.0,232.0
10,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_10.txt,24.0,24.0,24.0,24.0,0.0,-22.0,0.0,-22.0,24.0,24.0,24.0,2.0,False,128.0,17.0,38734.0,403.0,193.0,21714.0,295.0,141.0
11,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_11.txt,87.0,87.0,87.0,87.0,0.0,-179.0,0.0,-179.0,87.0,87.0,87.0,-92.0,False,128.0,9.0,51480.0,478.0,205.0,33252.0,428.0,102.0
12,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_12.txt,169.0,169.0,169.0,169.0,0.0,-295.0,0.0,-295.0,169.0,169.0,169.0,-126.0,False,128.0,10.0,56068.0,494.0,223.0,32256.0,468.0,84.0
13,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_13.txt,185.0,185.0,185.0,185.0,0.0,-198.0,0.0,-198.0,185.0,185.0,185.0,-13.0,False,128.0,8.0,56576.0,479.0,221.0,23532.0,392.0,74.0
14,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_14.txt,9.0,9.0,9.0,9.0,0.0,-89.0,0.0,-89.0,9.0,9.0,9.0,-80.0,False,128.0,10.0,65700.0,540.0,239.0,50750.0,465.0,175.0
15,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_15.txt,0.0,-85.0,0.0,-85.0,0.0,-34.0,0.0,-34.0,0.0,-34.0,0.0,-119.0,True,128.0,9.0,26554.0,329.0,148.0,26554.0,329.0,142.0
16,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_16.txt,0.0,-337.0,0.0,-337.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,-182.0,False,128.0,10.0,85560.0,592.0,279.0,75072.0,592.0,184.0
17,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_17.txt,0.0,-75.0,0.0,-75.0,0.0,-46.0,0.0,-46.0,0.0,-46.0,0.0,-121.0,True,128.0,9.0,44576.0,425.0,200.0,44576.0,423.0,199.0
18,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_18.txt,0.0,-33.0,0.0,-33.0,0.0,-116.0,0.0,-116.0,0.0,-33.0,0.0,-149.0,True,128.0,12.0,53058.0,461.0,222.0,43152.0,418.0,186.0
19,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_19.txt,0.0,-144.0,0.0,-144.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,-102.0,False,128.0,8.0,25403.0,382.0,150.0,21566.0,345.0,82.0
20,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_20.txt,0.0,-133.0,0.0,-133.0,0.0,-79.0,0.0,-79.0,0.0,-79.0,0.0,-212.0,True,128.0,14.0,68834.0,525.0,254.0,68834.0,525.0,254.0
21,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_21.txt,0.0,-80.0,0.0,-80.0,0.0,-146.0,0.0,-146.0,0.0,-80.0,0.0,-226.0,True,128.0,16.0,55920.0,473.0,233.0,55920.0,473.0,233.0
22,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_22.txt,0.0,-47.0,0.0,-47.0,0.0,-37.0,0.0,-37.0,0.0,-37.0,0.0,-84.0,True,128.0,12.0,45632.0,440.0,196.0,38233.0,394.0,173.0
23,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_23.txt,0.0,-11.0,0.0,-11.0,0.0,-114.0,0.0,-114.0,0.0,-11.0,0.0,-125.0,True,128.0,13.0,38520.0,394.0,185.0,34974.0,375.0,174.0
24,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_24.txt,0.0,-244.0,0.0,-244.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,-194.0,False,128.0,9.0,40587.0,460.0,191.0,36842.0,447.0,109.0
25,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_25.txt,0.0,-99.0,0.0,-99.0,0.0,-21.0,0.0,-21.0,0.0,-21.0,0.0,-120.0,True,128.0,17.0,61500.0,499.0,246.0,50372.0,453.0,196.0
26,uniform,outputs/agents_2/items_7/gpt4o/persona_based0/output_26.txt,2.0,2.0,2.0,2.0,0.0,-121.0,0.0,-121.0,2.0,2.0,2.0,-119.0,False,128.0,15.0,28470.0,390.0,142.0,18278.0,321.0,74.0
